eng,zh-cn,zh-tw,File
%-n black mountain decay,黑山衰退%-n,黑山衰退%-n,hv_TEXT_effects_pooled_resource.loc.tsv
%-n horse breeding decay,养马衰退%-n,養馬衰退%-n,hv_TEXT_effects_pooled_resource.loc.tsv
%-n resurrection decay,复苏衰退%-n,復甦衰退%-n,hv_TEXT_effects_pooled_resource.loc.tsv
%-n stratocracy decay,军政衰退%-n,軍政衰退%-n,hv_TEXT_effects_pooled_resource.loc.tsv
"A New Era, A New Ruler.",新时代，新主公。,新時代，新主公。,hv_TEXT_events_rules.loc.tsv
A Secret Plan,一条密计,一條密計,hv_TEXT_effects_skills.loc.tsv
A Xiliang colonel has joined your faction.,一名西凉校尉加入您的派系。,一名西涼校尉加入您的勢力。,hv_TEXT_events.loc.tsv
"A blade that is a beauty to behold. Inlaid with gold and embellished with shark skin, this blade is fit for a royal family.",一柄精美绝伦的宝剑，错以黄金，饰以鲛皮，与皇室之尊位相称。,一柄精美絕倫的寶劍。這把飾有鯊皮的鑲金寶劍正好匹配皇室。,hv_TEXT_skills_basic.loc.tsv
A captain and the guards commanding the army instead of the general.,由校尉和卫官来指挥军队。,由校尉和衛官來指揮軍隊。,hv_TEXT_unit_desc.loc.tsv
A careful decision,慎重决定,慎重決定,hv_TEXT_events.loc.tsv
A charge from a squadron of Spear cavalry is a daunting sight for any soldier. But to see the warriors of Yan descend upon them is a new brand of terror altogether.,对任何一个士兵来说，一队持矛骑兵的冲锋都会令人生畏。但如果杀来的是燕国战士，则是一种全新的恐怖。 ,對任何一個士兵來説，一隊持槍騎兵的衝鋒都會令人生畏。但如果殺來的是燕國戰士，則是一種全新的恐怖。,hv_TEXT_unit_desc.loc.tsv
"A cowardly conspiracy! There was a failed attempt to assassinate you during the banquet. Unfortunately, the assaliant was slain by the guards before he could be made to reveal the conspirator's identity.",阴谋！有人于宴会中欲加害于你。事虽未成，但刺客已被护卫弑杀，无法得知是谁在背后主谋。 ,陰謀！有人於宴會中欲加害於你。事雖未成，但刺客已被护卫弑杀，無法得知是誰在背後主謀。,ifo_text_TWEAK.loc.tsv
A few of your officers have gained additional experience.,您的一些官员获得额外经验。,您的一些官員獲得額外經驗。,hv_TEXT_events.loc.tsv
A fierce wind blows.,狂风大作。,狂風大作。,hv_TEXT_unit_abilities.loc.tsv
"A group of beggars appears before you. Among them, a girl dressed nicely comes forward and bows. The girl identifies herself as Dong Bai, the last kin of the tyrant Dong Zhuo, and begs you to take her.",前面来了一群乞丐，其中有一名衣冠楚楚的少女上前行礼。女孩自称董白，是暴君董卓最后的亲人。她求你带她走。,前面來了一群乞丐，其中有一名衣冠楚楚的少女上前行禮。女孩自稱董白，是暴君董卓最後的親人。她求你帶她走。,hv_TEXT_events.loc.tsv
A group of unusual men sporting shaved heads disembark from a ship.  They claim to have journeyed from distant lands to spread the teachings of Buddha. Perhaps it will be worth supporting them?,从船上下来一群剃光头的异人。他们自称从遥远地方来此传播佛道。也许值得支持他们？,從船上下來一群剃光頭的異人。他們自稱從遙遠地方來此傳播佛道。也許值得支持他們？,hv_TEXT_events.loc.tsv
A mysterious sword from the West. ,西域而来的神秘宝剑。,西域而來的神秘寶劍。,hv_TEXT_ceo_weapon.loc.tsv
A new regime is coming into power.,新政权开始建立。,新政權開始建立。,hv_TEXT_effects_pooled_resource.loc.tsv
A place to trade with the natives.,与土著交易之处。,與土著交易之處。,hv_TEXT_building.loc.tsv
A place where great teachers and passionate students gather.,贤师高徒汇聚之所。,賢師高徒匯聚之所。,hv_TEXT_building.loc.tsv
A quiet but enthusiastic supporter.,安静但热情的支持者。,安靜但熱情的支持者。,z_dummy_hv_TEXT_non_deployable.loc.tsv
A regiment of the Northern Army will join your faction.,一个北军兵团会加入您的派系。,一個北軍兵團會加入您的勢力。,hv_TEXT_events.loc.tsv
A second wind has come.,焚风再起，野火重来,梵風再起，野火重來。,hv_TEXT_effects_pooled_resource.loc.tsv
"A shabby warband requests to join your faction. After Lu Bu's defeat, his daughter Lu Ji seems to have been leading the survivors. However, granting them sanctuary may cause their enemies to come after us.",一只残军请求加入您的派系。吕布战败后，其女吕姬收拢溃卒。然而，接纳他们可能会惹恼吕布之敌。,一隻殘軍請求加入您的勢力。呂布戰敗後，其女呂姬收攏潰卒。然而，接納他們可能會惹惱呂布之敵。,hv_TEXT_events.loc.tsv
"A shabby warband requests to join your faction. After Yuan Shu's defeat, his generals Zhang Xun, Ji Ling and Yan Xiang to have been leading the survivors. However, granting them sanctuary may cause their enemies to come after us.",一只残军请求加入您的派系。袁术战败后，其部将张勋，纪灵及阎象收拢溃卒。然而，接纳他们可能会惹恼袁术之敌。,一隻殘軍請求加入您的勢力。袁術戰敗後，其部將張勳，紀靈及閻象收攏潰卒。然而，接納他們可能會惹惱袁術之敵。,hv_TEXT_events.loc.tsv
A successful hunt,狩猎成功,狩獵成功,hv_TEXT_events.loc.tsv
A yellow turban warband has invaded your territory. You must defeat them.,有黄巾军侵入主公领地，须从速讨敌。,有黃巾軍侵入主公領地，須從速討敵。,hv_TEXT_events.loc.tsv
Absent,缺席,缺席,ifo_text_TWEAK.loc.tsv
Academic Advancement,学术进步,學術進步,hv_TEXT_events.loc.tsv
Active Buff All Entities,全体主动增益,全體主動增益,hv_TEXT_skills_skill_ability_name_desc.loc.tsv
Active Buff Ally,我方主动增益,我方主動增益,hv_TEXT_skills_skill_ability_name_desc.loc.tsv
Active Buff Ally (Auto),我方主动增益（自动）,我方主動增益（自動）,hv_TEXT_unit_abilities.loc.tsv
Active Buff Self,自身主动增益,自身主動增益,hv_TEXT_skills_skill_ability_name_desc.loc.tsv
Active Buff Self (Auto),自身主动增益（自动）,自身主動增益（自動）,hv_TEXT_unit_abilities.loc.tsv
Active Debuff Enemy,敌方主动减益,敵方主動減益,hv_TEXT_skills_skill_ability_name_desc.loc.tsv
Active Debuff Enemy (Auto),敌方主动减益（自动）,敵方主動減益（自動）,hv_TEXT_unit_abilities.loc.tsv
Adaptation is the only way to live.,,,hv_TEXT_unit_abilities.loc.tsv
All economic activities have been hampered by the minting of a new coin. We have no choice but to wait for merchants to adjust to the new standard.,所有的经济活动都因为新币的铸造而受到阻碍。我们别无选择，只能等待商人们适应新的标准。,所有的經濟活動都因爲新幣的鑄造而受到阻礙。我們別無選擇，只能等待商人們適應新的標準。,hv_TEXT_events.loc.tsv
"Although he lost one hand, he was one of the few who survived from duel with Lubu.",,,[01]__MTU_generals__Wood_champion.loc.tsv
Always surrounded by people.,周围总是很多人。,周圍總是很多人。,z_dummy_hv_TEXT_non_deployable.loc.tsv
"Amongst the hills of Jingchu, the unwary may find themselves tripped upon a caltrop, and slain by the man who laid it.",在荆楚的山中，粗心的人可能会被一把蒺藜绊倒，然后被放它的人杀死。 ,在荊楚的山中，粗心的人可能會被一把蒺藜絆倒，然後被放它的人殺死。,hv_TEXT_unit_desc.loc.tsv
"An illustrious lineage provides many swords, along with men willing to wield them.",显赫的血统可以使许多剑士愿意效命。 ,顯赫的血統可以使許多劍士願意效命。,hv_TEXT_unit_desc.loc.tsv
An imperial ancestral rite is being held...,正在举行皇家祭祀仪式……,正在舉行皇家祭祀儀式…… ,ifo_text_TWEAK.loc.tsv
An inevitable rule to stabilize the turmoil.,严政方能定乱。,嚴政方能定亂。,hv_TEXT_pooled_resource.loc.tsv
Anger pushes their limits.,愤怒把他们逼至极限。,憤怒把他們逼至極限。,hv_TEXT_unit_abilities.loc.tsv
Anguo,安国,安國,[05]__MTU_sys__Names.loc.tsv
"Anti-Cavalry, Average Armour-Piercing Damage",反骑兵，穿甲伤害一般,反騎兵，穿甲傷害一般,hv_TEXT_unit_ui_group_VM.loc.tsv
"Anti-Cavalry, High Armour-Piercing Damage",反骑兵，穿甲伤害高,反騎兵，穿甲傷害高,hv_TEXT_unit_ui_group_t1.loc.tsv
"Anti-Cavalry, High Armour-Piercing Damage, Break Enemy's Shield",反骑兵，穿甲伤害高，破盾,反騎兵，穿甲傷害高，破盾,hv_TEXT_unit_ui_group_t3.loc.tsv
"Anti-Cavalry, Low Armour-Piercing Damage",反骑兵，穿甲伤害低,反騎兵，穿甲傷害低,hv_TEXT_unit_ui_group_VM.loc.tsv
Argumentative and annoying scholars.,好辩又烦人的学者。,好辯又煩人的學者。,z_dummy_hv_TEXT_non_deployable.loc.tsv
"Armed with bow and sword, these disciplined riders enforce the will of their warlord.",佩戴剑弓，这些纪律严明的骑手执行他们主公的意志。,佩戴劍弓，這些紀律嚴明的騎手執行他們主公的意志。,hv_TEXT_unit_desc.loc.tsv
"Armed with bow and sword, these hardy soldiers enforce the will of their warlord.",佩戴剑弓，这些硬朗的士兵执行他们主公的意志。,佩戴劍弓，這些硬朗的士兵執行他們主公的意志。,hv_TEXT_unit_desc.loc.tsv
Army of the Great Banner,集兵练卒,集兵練卒,hv_TEXT_events.loc.tsv
Artillery,远程砲兵,遠程砲兵,hv_TEXT_unit_ui_group_t1.loc.tsv
"As big as it is, heavy but strong",,,[02]__MTU_items__Weapons.loc.tsv
"As the Black Mountain bandits increase in number, the more brazen they become.",黑山匪徒之数与日俱增，其行为亦更加肆无忌惮。,黑山匪徒之數與日俱增，其行為亦更加肆無忌憚。,hv_TEXT_frontend_features.loc.tsv
"As the enemy spots the blue turbans on the field, they know the hardest fighting is about to begin.",当敌人在战场上看到蓝色头巾时，他们就知道最艰苦的战斗即将开始。,當敵人在戰場上看到藍色頭巾時，他們就知道最艱苦的戰鬥即將開始。,hv_TEXT_unit_desc.loc.tsv
Attack is the best defence.,,,hv_TEXT_unit_abilities.loc.tsv
Attend,出席,出席,ifo_text_TWEAK.loc.tsv
"Average Hit Rate, Average Armour-Piercing Damage",命中率一般，穿甲伤害一般,命中率一般，穿甲傷害一般,hv_TEXT_unit_ui_group_VM.loc.tsv
"Average Hit Rate, High Armour-Piercing Damage",命中率一般，穿甲伤害高,命中率一般，穿甲傷害高,hv_TEXT_unit_ui_group_VM.loc.tsv
"Average Hit Rate, Multi-Role",命中率一般，多重角色,命中率一般，多重角色,hv_TEXT_unit_ui_group_t1_VM.loc.tsv
"Average Range, Low Armour-Piercing Damage, Fast Reload",一般距离，穿甲伤害低，射击速率快,一般距離，穿甲傷害低，射擊速率快,hv_TEXT_unit_ui_group_t1_VM.loc.tsv
Bandit Slayer,荡寇将军,蕩寇將軍,hv_TEXT_ceo_career.loc.tsv
Bandit: Dead or Alive,,,hv_TEXT_unit_abilities.loc.tsv
Bandit: Deeply-Rooted,,,hv_TEXT_unit_abilities.loc.tsv
Bandit: Grievous Bite,,,hv_TEXT_unit_abilities.loc.tsv
Bandit: Improvisation,,,hv_TEXT_unit_abilities.loc.tsv
Bandit: Strike First,,,hv_TEXT_unit_abilities.loc.tsv
Barn Swallows,燕子兵,燕子兵,hv_TEXT_unit_text_replacements.loc.tsv
Battle Hardened (Cavalry),久经沙场（骑兵）,久經沙場（騎兵）,hv_TEXT_unit_abilities.loc.tsv
Battle Hardened (Melee),久经沙场（近战）,久經沙場（近戰）,hv_TEXT_unit_abilities.loc.tsv
Battle Hardened (Ranged),久经沙场（远程）,久經沙場（遠程）,hv_TEXT_unit_abilities.loc.tsv
Battle Hardened (Spear),久经沙场（矛兵）,久經沙場（槍兵）,hv_TEXT_unit_abilities.loc.tsv
Battle Trance,乱战,亂戰,hv_TEXT_unit_abilities.loc.tsv
Big Mace,,,[02]__MTU_items__Weapons.loc.tsv
Black Mountain,黑山,黑山,hv_TEXT_pooled_resource.loc.tsv
Black Mountain / Opportunistic Alignment,黑山/趋利之盟,黑山 / 趨利之盟,hv_TEXT_frontend_features.loc.tsv
Black Mountain bandits exploit the chaos to bolster their numbers.,黑山贼乘乱以增其之数。,黑山贼乘乱以增其之数。,hv_TEXT_pooled_resource.loc.tsv
Black Mountain: Few,黑山：量小力微,黑山：量小力微,hv_TEXT_effects_pooled_resource.loc.tsv
Black Mountain: Formidable,黑山：望而生畏,黑山：望而生畏,hv_TEXT_effects_pooled_resource.loc.tsv
Black Mountain: Organised,黑山：同心协力,黑山：同心協力,hv_TEXT_effects_pooled_resource.loc.tsv
Black Mountain: Overwhelming,黑山：势不可遏,黑山：勢不可遏,hv_TEXT_effects_pooled_resource.loc.tsv
Black Mountain: Scattered,黑山：四散而逃,黑山：四散而逃,hv_TEXT_effects_pooled_resource.loc.tsv
Blood Seekers,嗜血兵,嗜血兵,hv_TEXT_unit_text_replacements.loc.tsv
Blood Thirst,嗜血成性,嗜血成性,hv_TEXT_unit_abilities.loc.tsv
Blue Turbans,蓝巾兵,藍巾兵,hv_TEXT_unit_text_replacements.loc.tsv
Bolster,支持,支持,hv_TEXT_unit_abilities.loc.tsv
Bomb Slingers,爆弹兵,爆彈兵,hv_TEXT_unit_text_replacements.loc.tsv
"Born from refugees and those peoples who would not submit to the Han empire, these White Tiger Strays have thrown their lot with Yan Baihu, hoping to safeguard their independance. Wearing bad equipment, the most valuable thing they offer to their commanders is their lives; to sell dearly as better men win the battle for them.",,,hv_TEXT_unit_long_desc.loc.tsv
"Brandishing their Ji expertly, these men will uphold the fearsome reputation of the Xiliang army.",这些人熟练地挥舞着战戟，他们会维护西凉军可怕的声誉。,這些人熟練地揮舞著戰戟，他們會維護西涼軍可怕的聲譽。,hv_TEXT_unit_desc.loc.tsv
Bravery drives a warrior to battle more effectively than any general; a great axe keeps them there.,勇气是最好的将领，能带领士兵踏上沙场。良斧在手，则能让士兵在沙场存活。,勇氣是最好的將領，能帶領士兵踏上沙場。良斧在手，則能讓士兵在沙場存活。,hv_TEXT_unit_desc.loc.tsv
Breakthrough,,,hv_TEXT_unit_abilities.loc.tsv
Buddhism,佛教,佛教,hv_TEXT_etc.loc.tsv
Bulldoze,横冲直撞,橫衝直撞,hv_TEXT_unit_abilities.loc.tsv
Buqu of the Left General,左将军部曲,左將軍部曲,hv_TEXT_unit_text_replacements.loc.tsv
Buy nothing,无意购买,不買任何東西,hv_TEXT_events.loc.tsv
"By the time the victim is aware of what has happened, it is already too late.",等到敌人发现之时就已为时已晚。,等到敵人發現之時就已爲時已晚。,hv_TEXT_skills_skill_ability_name_desc.loc.tsv
Cai Yan,,,[01]__MTU_generals__Water_strategist.loc.tsv
Calm Down,镇静,鎮靜,hv_TEXT_skills_skill_ability_name_desc.loc.tsv
Cao Ang's Armour,曹昂的护甲,曹昂的護甲,hv_TEXT_ceo_career.loc.tsv
Captain,校尉,校尉,hv_TEXT_unit_text_replacements.loc.tsv
Captain of Yuan House,袁氏校尉,袁氏校尉,hv_TEXT_unit_text_replacements.loc.tsv
Cement your rule with legitimacy! Build an Imperial City that will be the envy of other warlords. All under heaven will look to you for leadership.,要称霸就要有正统的名义。若能建造一座万人敬仰的都城，便可彰显实力，天下人必当归顺。,要稱霸就要有正統的名義。若能建造一座萬人敬仰的皇城，便可彰顯實力，天下人必當歸順。,hv_TEXT_events.loc.tsv
"Certain polearms, such as the Ji, can parry incoming attacks.",像戟这样的长柄武器可以阻挡对方的攻击。,像戟這樣的長柄武器可以阻擋對方的攻擊。,hv_TEXT_unit_abilities_hit_effects.loc.tsv
Character Joins: Dong Bai,人物加入：董白,人物來投：董白,hv_TEXT_events.loc.tsv
Children of the forest,森林之子,森林之子,hv_TEXT_unit_text_replacements.loc.tsv
Chunyu Qiong,淳于琼,淳于瓊,hv_TEXT_cb_loadout.loc.tsv
City Expansion,扩展城市,擴展城市,hv_TEXT_skills_additional.loc.tsv
Colonel of the Xiliang Army,西凉军校尉,西涼軍校尉,hv_TEXT_effects_ceo.loc.tsv
Colonel of the Xiliang Army can be earned when occupied,占据时可获得西凉军校尉,占據時可獲得西涼軍校尉,hv_TEXT_region_army.loc.tsv
Commission,委任,委任,hv_TEXT_events.loc.tsv
Complete missions to bolster your faction!,完成任务可以增强您的势力！,完成任務可以增强您的勢力！,hv_TEXT_events.loc.tsv
Completing these missions will gather northern colonels to your cause.,完成这些任务，北军校尉就会为您效力。,完成這些任務，北軍校尉就會爲您效力。,hv_TEXT_events.loc.tsv
Confront the large white tiger,与巨型白虎对峙,與巨型白虎對峙,hv_TEXT_events.loc.tsv
Confucianist,儒生,儒生,z_dummy_hv_TEXT_non_deployable.loc.tsv
Confucius Institute,孔子学院,孔子學院,hv_TEXT_building.loc.tsv
Congestion,拥堵,擁堵,hv_TEXT_effect_faction.loc.tsv
Conquest Yellow Turbans,剿灭黄巾,剿滅黃巾,hv_TEXT_etc.loc.tsv
Council Proctor,县丞,縣丞,z_dummy_hv_TEXT_non_deployable.loc.tsv
Courage and energy are rising.,勇气与精力皆以重振。,勇氣與精力皆以重振。,hv_TEXT_unit_abilities.loc.tsv
Court Management,宫廷管理,宮廷管理,hv_TEXT_skills_additional.loc.tsv
Covers ally troops to retreat safely.,掩护友军安全撤离。,掩護友軍安全撤離。,hv_TEXT_unit_abilities.loc.tsv
Crossbow Artillery,弩炮,弩炮,hv_TEXT_unit_ui_group_t1.loc.tsv
Cunning Monkeys,狡猴兵,狡猴兵,hv_TEXT_unit_text_replacements.loc.tsv
DEBUG GUY,校尉,校尉,hv_TEXT_cb_loadout.loc.tsv
Danyang Troop Barrack,丹阳部队军营,丹陽部隊軍營,hv_TEXT_building.loc.tsv
Danyang Troop Encampment,丹阳部队营寨,丹陽部隊營寨,hv_TEXT_building.loc.tsv
Danyang Troop Post,丹阳部队据点,丹陽部隊據點,hv_TEXT_building.loc.tsv
Danyang Troop Tally,丹阳虎符,丹陽虎符,hv_TEXT_effects_ceo.loc.tsv
Danyang Troops Officer,丹阳部队士官,丹陽部隊士官,hv_TEXT_effects_ceo.loc.tsv
Danyang troop tally can be earned when occupied,占据时可获得丹阳虎符,占據時可獲得丹陽虎符,hv_TEXT_region_army.loc.tsv
Defensive Stance,防御姿态,防禦姿態,hv_TEXT_unit_abilities.loc.tsv
Desperate Stand,背水一战,背水一戰,hv_TEXT_unit_abilities.loc.tsv
Desperation soon leads to violence.,,,hv_TEXT_unit_abilities.loc.tsv
Devoted Mother,躬亲主母,躬親主母,z_dummy_hv_TEXT_non_deployable.loc.tsv
Diao Chan's Silk Raiment,,,[dummy]__MTU_dummy.loc.tsv
Diao Chan's beauty is enough to destroy a country in a moment.,,,[dummy]__MTU_dummy.loc.tsv
Disturbance,扰乱,擾亂,hv_TEXT_skills_additional.loc.tsv
Dong Bai,,,[01]__MTU_generals__Water_strategist.loc.tsv
Dong Min,董旻,董旻,hv_TEXT_cb_loadout.loc.tsv
Dragon Rising,觉醒之龙,覺醒之龍,hv_TEXT_unit_abilities.loc.tsv
Dragonlings,少龙兵,少龍兵,hv_TEXT_unit_text_replacements.loc.tsv
Drifting Warmongers,漂流战贩,漂流戰販,hv_TEXT_unit_text_replacements.loc.tsv
Duke or Grand Master,派系级别达到公,勢力級別達到公,hv_TEXT_etc.loc.tsv
"Each character in Sun Ce's faction grants him shared expertise points once they reach rank 5. At ranks 9, 12 and 15 they generate one extra point respectively.",孙策派系中每位人物在达到5级后均会与他分享专长点。在9级、12级和15级时他们分别会产生一个额外的点数。,孫策勢力中每位人物在達到5級后均會與他分享專長點。在9級、12級和15級時他們分別會產生一個額外的點數。,hv_TEXT_etc.loc.tsv
"Echoing the glory of Chu, the great axes these men wield will make short work of their shielded foes.",这些人所挥的大斧是楚国的荣耀，即使是持盾的敌人亦命不久矣。 ,這些人所揮的大斧是楚國的榮耀，即使是持盾的敵人亦命不久矣。,hv_TEXT_unit_desc.loc.tsv
"Echoing the nomads they fought for years, these horse archers will do the Xiliang army proud on any battlefield.",这些马弓手与其他游牧部落征战多年，在任何战场上都是西凉军的骄傲。,這些馬弓手與其他遊牧部落征戰多年，在任何戰場上都是西涼軍的驕傲。,hv_TEXT_unit_desc.loc.tsv
Economic and social upheaval casued by the minting of a new coin.,铸造新币引起了经济和社会的动荡。,鑄造新幣引起了經濟和社會的動蕩。,hv_TEXT_effects_technology.loc.tsv
Enables: Duelling,可使用：单挑,可使用：單挑,hv_TEXT_skills_skill_ability_etc.loc.tsv
Enables: Explosive Shot (Trebuchet),可使用：爆裂弹（投石机）,可使用：爆裂彈（投石機）,hv_TEXT_effects_skills.loc.tsv
Enables: Flaming Shot (Trebuchet),可使用：燃烧弹（投石机）,可使用：燃燒彈（投石機）,hv_TEXT_effects_skills.loc.tsv
Encounter white tigers,遭遇虎袭,遭遇虎襲,hv_TEXT_events.loc.tsv
Endless war has disciplined them.,身经百战，纪律严明。,身經百戰，紀律嚴明。,hv_TEXT_unit_abilities.loc.tsv
Energy of Black Mountain,黑山之能,黑山之能,hv_TEXT_unit_abilities.loc.tsv
Enforcer Troop Tally,捕掾队虎符,捕掾隊虎符,hv_TEXT_effects_ceo.loc.tsv
"Even in the elite Xiliang army, having a big sword can only bring advantages to a commander.",就算在精锐的西凉军里，一把大刀对于将领来说也颇有好处。 ,就算在精銳的西涼軍裏，一把大刀對於將領來説也頗有好處。,hv_TEXT_unit_desc.loc.tsv
"Every spring, characters gain additional experience.",每年春季，角色会获得额外经验。,每年春季，角色會獲得額外經驗。,hv_TEXT_effects_building.loc.tsv
Fa Zheng,法正,法正,hv_TEXT_cb_loadout.loc.tsv
Faith makes a miracle.,信念可带来奇迹。,信念可帶來奇跡。,hv_TEXT_unit_abilities.loc.tsv
Faith of the Messengers,使者信念,使者信念,hv_TEXT_unit_abilities.loc.tsv
Fanatics,狂信徒,狂信徒,hv_TEXT_unit_text_replacements.loc.tsv
Fear of Gunpowder,惧怕火器,懼怕火器,hv_TEXT_unit_abilities_hit_effects.loc.tsv
Fearless Charge,无畏冲锋,無畏衝鋒,hv_TEXT_unit_abilities.loc.tsv
Fearsome Cavalry,骇人铁骑,駭人鐵騎,hv_TEXT_events.loc.tsv
Femme Fatale,,,[dummy]__MTU_dummy.loc.tsv
Ferghana horses are bred to equip cavalry forces.,养育大宛马来装备骑兵部队。,養育大宛馬來裝備騎兵部隊。,hv_TEXT_pooled_resource.loc.tsv
Ferocity,凶猛残暴,凶猛殘暴,hv_TEXT_unit_abilities.loc.tsv
Fighting revitalises them.,战斗使他们重焕活力。,戰鬥使他們重煥活力。,hv_TEXT_unit_abilities.loc.tsv
Fire Fiends,火煞兵,火煞兵,hv_TEXT_unit_text_replacements.loc.tsv
Flame Breathing,吐火,吐火,hv_TEXT_skills_skill_ability_name_desc.loc.tsv
Flame Sling,,,hv_TEXT_unit_ui_bullet.loc.tsv
"Flank, Charge, Chase",包抄，冲锋，追击,包抄，衝鋒，追擊,hv_TEXT_unit_ui_group_t1_VM.loc.tsv
"Following your recent success, the captain of the Northern Army has come to pledge his devotion to you. He brings with him the might of the professional soldiers he commands.",随着您近期的丰功伟业，督掌北军的中尉前来宣誓效忠于您，他所指挥的整支精良军队也一同前来，加入您的麾下。,鑒於您近期勢如破竹，北軍中候已宣誓效忠於您。他所指揮的精良軍隊也隨同前來，加入您麾下。,hv_TEXT_events.loc.tsv
"For farmers, they are higher than the emperor.",对佃户来说，他们的地位比皇帝还高。,對佃戶來説，他們的地位比皇帝還高。,z_dummy_hv_TEXT_non_deployable.loc.tsv
Forest Strategy,,,hv_TEXT_unit_abilities.loc.tsv
Forgive him,,,[dummy]__MTU_dummy.loc.tsv
Fortitude / Trophy Cabinet,坚韧度 / 战利品宝库,堅韌度 / 戰利品櫃,hv_TEXT_frontend_features.loc.tsv
"Fortunately, nothing of note happened during the banquet.",幸运的是，宴会中没发生什么大事。,幸運的是，宴會中沒發生什麼大事。 ,ifo_text_TWEAK.loc.tsv
Fortune is with them.,正是鸿运当头之时。,正是鴻運當頭之時。,hv_TEXT_unit_abilities.loc.tsv
Gain military benefits at the expense of the relations with other factions.,获得军事增益，但也会恶化与其他势力的关系。 ,獲得軍事增益，但也會惡化與其他勢力的關係。,hv_TEXT_frontend_features.loc.tsv
Gao Gan's Armour,高干的护甲,高幹的護甲,hv_TEXT_ceo_career.loc.tsv
Garrison Reinforcement,驻军补员,駐軍補員,hv_TEXT_skills_additional.loc.tsv
Garrisoned armies will support the administration of the local county.,驻防军队将会支持当地郡县的管理。,駐軍會協助縣內行政事宜。,hv_TEXT_effects_pooled_resource.loc.tsv
Gathering Volunteers,召集义勇,召集義勇,hv_TEXT_skills_additional.loc.tsv
Goshawk Cavalry,苍鹰突骑,蒼鷹突騎,hv_TEXT_unit_text_replacements.loc.tsv
Guo Si's Armour,郭汜的护甲,郭汜的護甲,hv_TEXT_ceo_career.loc.tsv
"Hailing from Taishan, these women have coated their arrow points in a special ointment, made from poisonous herbs native to the region. In battle, A volley from these archers will soon leave the enemy gasping for air as the poison very quickly spreads through their veins. A wise commander will use these soldiers to spread terror through the enemy ranks, yet keep them well-protected: they are vulnerable to cavalry, as their range is limited.",,,hv_TEXT_unit_long_desc.loc.tsv
Handmaid Guards,护卫侍女,護衛侍女,hv_TEXT_unit_text_replacements.loc.tsv
"Hardened Xiliang soldies, these elite spearmen will hold the line against all comers.",这些精锐矛兵是百经锤炼的西凉战士，会坚守阵地对抗所有来敌。 ,這些精銳矛兵是百經錘煉的西涼戰士，會堅守陣地對抗所有來敵。 ,hv_TEXT_unit_desc.loc.tsv
"Having defended their home for long enough, even militia may grow to rival professional soldiers.",长久保卫家园之后，即使是民兵也可能成长为职业士兵的对手。 ,長久保衛家園之後，即使是民兵也可能成長為職業士兵的對手。,hv_TEXT_unit_desc.loc.tsv
"Having fled from their homes, these craftsmen and artisans turn their skills to the defence of their new home and master. \\n\\n Having been selected as the brightest from the many refugees flooding his lands, these engineers serve Tao Qian to the best of their ability. Wielding crossbows, they provide support from afar and will deploy smoke bombs and caltrops when an enemy strays too close. However, these men are not proper soldiers and should not be relied upon to hold the line in melee.",,,hv_TEXT_unit_long_desc.loc.tsv
He was also a bandit once.,平定江东之功臣。,平定江東之功臣。,hv_TEXT_ceo_career.loc.tsv
He was loved by everyone.,受衆人喜愛。,受众人喜爱。,hv_TEXT_ceo_career.loc.tsv
Heavily-armoured troops carrying iron bows that requires very strong tension. ,重装部队，携带张力很强的铁弓。,重裝部隊，携帶張力很强的鐵弓。,hv_TEXT_unit_desc.loc.tsv
"Her elegance, determination, and beauty made her coveted by all the heroes of the age.",她的优雅、决心和美貌使她受到当时所有英雄的垂涎。,她的優雅、决心和美貌使她受到當時所有英雄的垂涎。,[01]__MTU_generals__Earth_commander.loc.tsv
Heroic Outlaws,英勇匪徒,英勇匪徒,hv_TEXT_unit_text_replacements.loc.tsv
Hidden Assaults,隐秘突击兵,隱秘突擊兵,hv_TEXT_unit_text_replacements.loc.tsv
Hidden Snakes,隐蛇兵,隱蛇兵,hv_TEXT_unit_text_replacements.loc.tsv
