eng,zh-cn,zh-tw,File
"Short Range, Powerful Flame Damage, Average Reload",近距，火焰伤害强，射击速率一般,近距，火焰傷害強，射擊速率一般,hv_TEXT_unit_ui_group_t1_VM.loc.tsv
Siege Attacker,,,hv_TEXT_unit_ui_bullet.loc.tsv
"Skirmish, Chase",散兵，追击,散兵，追擊,hv_TEXT_unit_ui_group_t1_VM.loc.tsv
Skirmishing Shot,,,hv_TEXT_unit_abilities.loc.tsv
"Slander! A rival warlord is spreading malicious rumours at the imperial court, causing Emperor Xian to doubt our loyalty to the Han.",诽谤！一个敌对的军阀在朝廷散布恶意的谣言，使献帝怀疑我们对大汉的忠诚。,誹謗！一個敵對的軍閥在朝廷散佈惡意的謠言，使獻帝懷疑我們對大漢的忠誠。,ifo_text_TWEAK.loc.tsv
Small but clear.,小火虽微，而不可轻。,小火雖微，而不可輕。,hv_TEXT_effects_pooled_resource.loc.tsv
Sniper Position,狙击位置,狙擊位置,hv_TEXT_unit_abilities.loc.tsv
Social Turmoil,社会动荡,社會動盪,hv_TEXT_events.loc.tsv
Sogdian Merchants,粟特商人,粟特商人,hv_TEXT_events.loc.tsv
Sogdian Officer,粟特士官,粟特士官,hv_TEXT_effects_ceo.loc.tsv
Sogdians from the west has been spotted entering our borders. We will be able to purchase fine goods or hire Sogd mercenaries soon.,自西域而来的粟特商人出现在我方境内。我们很快就能买到精美商品，或者雇佣粟特佣兵。,自西域而來的粟特商人出現在我方境内。我們很快就能買到精美商品，或者雇傭粟特傭兵。,hv_TEXT_events.loc.tsv
Sogidan Merchants Approach,粟特商人来访,粟特商人來訪,hv_TEXT_events.loc.tsv
Speed is the essence of war.,兵贵神速。,兵貴神速。,hv_TEXT_unit_abilities.loc.tsv
Spice Guard,香料护卫,香料護衛,hv_TEXT_unit_text_replacements.loc.tsv
"Stalwart as the hills they were raised in, these Chu spearmen are an asset to any warlord.",这些楚国的矛兵与山丘一样坚韧，对任何一个军阀来说都是一笔财富。 ,這些楚國的矛兵與山丘一樣堅韌，對任何一個軍閥來說都是一筆財富。 ,hv_TEXT_unit_desc.loc.tsv
Steppe horse archers are in high demand by many warlords. But sometimes they make a better profit by working for themselves.,很多军阀都想要有草原骑射手。但与其为人效命，有时候不如自己单干。,很多軍閥都想要有草原騎射手。但與其為人效命，有時候不如自己單幹。 ,hv_TEXT_unit_desc.loc.tsv
Stockpile Storage ,储备站,儲備站,hv_TEXT_building.loc.tsv
Stratocracy,军政,軍政,hv_TEXT_pooled_resource.loc.tsv
Stratocracy / Military Government,军政/军事政府,軍政 / 軍事政府,hv_TEXT_frontend_features.loc.tsv
Stratocracy: Empowered,军政：全权在握,軍政：全權在握,hv_TEXT_effects_pooled_resource.loc.tsv
Stratocracy: Great,军政：卓有成效,軍政：卓有成效,hv_TEXT_effects_pooled_resource.loc.tsv
Stratocracy: Insignificant,军政：尚未实行,軍政：尚未實行,hv_TEXT_effects_pooled_resource.loc.tsv
Stratocracy: Modest,军政：初试锋芒,軍政：初試鋒芒,hv_TEXT_effects_pooled_resource.loc.tsv
Stratocracy: Substantial,军政：不可小觑,軍政：不可小覷,hv_TEXT_effects_pooled_resource.loc.tsv
Strength of Black Mountain,黑山之力,黑山之力,hv_TEXT_unit_abilities.loc.tsv
Striking Tide,刀浪澎湃,刀浪澎湃,hv_TEXT_skills_skill_ability_name_desc.loc.tsv
"Sun Tzu said that one should always give an enemy room to escape, so that they do not fight with the fervour of the doomed. Yet for Gao Shun's elite force, Xian Chen Ying, being entirely surrounded is nothing but another dimension to slaughter. \\n\\n Renowned for their abilitiy to smash through enemy formations, Xian Chen Ying excel even when surrounded. The bodies will pile high, but Xian Chen Ying will still emerge from the pile victorious.",,,hv_TEXT_unit_long_desc.loc.tsv
Supply Management,补给管理,補給管理,hv_TEXT_building.loc.tsv
Support them,支持他们,支持他們,hv_TEXT_events.loc.tsv
Survival Instinct ,生存本能,生存本能,hv_TEXT_region_army.loc.tsv
Tactical Advance,战术前进,戰術前進,hv_TEXT_unit_abilities.loc.tsv
Taishan Batters,泰山连击兵,泰山連擊兵,hv_TEXT_unit_text_replacements.loc.tsv
Taishan Phantoms,泰山魅影兵,泰山魅影兵,hv_TEXT_unit_text_replacements.loc.tsv
Taishan Poison Wind Archers,泰山毒风弓兵,泰山毒風弓兵,hv_TEXT_unit_text_replacements.loc.tsv
Take her,收留她,予以接納,hv_TEXT_events.loc.tsv
Take out their archers. I'll meet you in the middle.,解决掉他们的弓手，我们到中间会合。,解決掉他們的弓手，我們到中間會合。,hv_TEXT_unit_abilities.loc.tsv
"Thanks to your patronage of scholars and men of talent, your officers have made progress on the path to enlightenment.",由于您对学者和人才的赞助，您的官员在启蒙的道路上取得了进步。,由於您對學者和人才的贊助，您的官員在啓蒙的道路上取得了進步。,hv_TEXT_events.loc.tsv
The Black Mountain bandits are scattered. ,黑山匪徒已作鸟兽散。,黑山匪徒已作鳥獸散。,hv_TEXT_effects_pooled_resource.loc.tsv
The Black Mountain bandits make their advance.,黑山匪徒开始进军。,黑山匪徒開始進軍。,hv_TEXT_unit_abilities.loc.tsv
The Black Mountain bandits make their move.,黑山匪徒开始出动。,黑山匪徒開始出動。,hv_TEXT_unit_abilities.loc.tsv
The Black Mountain bandits make their stand.,黑山匪徒摆开阵势。,黑山匪徒擺開陣勢。,hv_TEXT_unit_abilities.loc.tsv
The Black Mountain bandits unleash their fury.,黑山匪徒怒不可遏。,黑山匪徒怒不可遏。,hv_TEXT_unit_abilities.loc.tsv
The Cataclysm,,,[dummy]__MTU_dummy.loc.tsv
The Glory of the Han shall endure while these men have the strength to wield their halberds.,只要这些人有力量挥舞他们的战戟，汉室的荣耀就将延续。 ,只要這些人有力量揮舞他們的戰戟，漢室的榮耀就將延續。,hv_TEXT_unit_desc.loc.tsv
The Han must be restored. These men shall follow their righteous general to the death to see it done.,汉室必须复兴。这些人将誓死跟随他们通晓大义的将军。 ,漢室必須復興。這些人將誓死跟隨他們通曉大義的將軍。,hv_TEXT_unit_desc.loc.tsv
The Kidnapped Girl,文姬归汉,文姬歸漢,hv_TEXT_events.loc.tsv
The Last Gift,,,[dummy]__MTU_dummy.loc.tsv
The Last Kin of the Dong Zhuo,董卓遗孤,董卓遺孤,hv_TEXT_events.loc.tsv
The Legacy of Lu Bu,吕布残党,呂布殘黨,hv_TEXT_effects_events.loc.tsv
The Legacy of Yuan Shu,袁术残党,袁術殘黨,hv_TEXT_effects_events.loc.tsv
The New Coin Causes Confusion!,新币引起了混乱！,新幣引起了混亂！,hv_TEXT_events.loc.tsv
The Wandering Survivors,寄人篱下,寄人籬下,hv_TEXT_events.loc.tsv
"The Xiliang Army is yours to command! Each colonel is loyal to whom they have been assigned, vowing never to leave their side!",西凉军为您效命！每一位校尉都忠于自己所属之人，誓死不离其侧！,西涼軍爲您效命！每一位校尉都忠於自己所屬之人，誓死不離其側！,hv_TEXT_effects_ceo.loc.tsv
The Yan frontier offers no shortage of good horses. The constant warfare provides these steeds with expert riders.,燕疆不乏良马。连绵的战事为这些战马提供了老练的骑手。,燕疆不乏良馬。連綿的戰事為這些戰馬提供了老練的騎手。  ,hv_TEXT_unit_desc.loc.tsv
The Yellow Turban Rises Again,黄巾再起,黃巾再起,hv_TEXT_events.loc.tsv
The Yellow Turban is ready to color the world once again.,,,hv_TEXT_pooled_resource.loc.tsv
"The Yellow Turban rebellion challenges the corruption that poisons China and has made many question old loyalties. \\n\\n These noblemen have renounced their former warlords to seek justice and redemption. Their previous life of privilege has trained and equipped them well, and they ride into battle clad in ornate armour and helmets upon impressive mounts of the finest stock. \\n\\n With sharp spears, the impact of their charge is merely a way to break the enemy’s lines for deadly close combat.",黄巾军冲击了天下的腐朽势力，许多人都开始有所动摇。\\n\\n这些贵族不再效忠于之前的诸侯，而是另寻天义以求救赎。他们之前生活优渥，自然装备训练充足，他们身着华丽兜鍪骑良马杀入战场，他们手持锋利的长枪，冲破敌阵后也会近战砍杀。,黃巾軍起義，劍指危害天下的腐敗，並讓許多人對心中舊有的忠誠觀念產生疑問。 \\n\\n 這些名門賢士拋棄了原先效忠的諸侯，轉而尋求公義，彌補自己的罪過。他們因先前的優渥生活而受過紮實的訓練，並擁有精良的裝備。賢士穿戴華美的護甲與頭盔，騎著威風凜凜的良駒駿馬踏上戰場。 \\n\\n 他們手持鋒利的長槍向前衝鋒，只為突破陣線，與敵軍來場你死我活的近戰廝殺。,hv_TEXT_unit_desc.loc.tsv
The Yellow Warlord,黄巾军将领,黃巾軍將領,hv_TEXT_cb_loadout.loc.tsv
"The Yuan clan's fame brings many benefits, one of which the number of men willing to lay down their lives in their service. \\n\\n Wielding the noble Jian blade, and protected by stout shields and good armour, these swordsmen will defend their masters with zeal. They form the frontline of the Yuan battleline, chopping and slashing at their foe until either they or themselves are slain.",,,hv_TEXT_unit_long_desc.loc.tsv
The arrival of Buddhism,佛教传入,佛教傳入,hv_TEXT_events.loc.tsv
"The bandit queen's forces are bolstered by the presence of these so-called ""phantoms"". Hailing from Taishan, these warriors have already gathered an ominous reputation for the poison bombs they carry with them. If the wind is right, these bombs will cause entire regiments to choke without even comitting to battle. They are furthermore armed with a light sword and cloth armor, so they should not be relied on to hold the line in melee.",,,hv_TEXT_unit_long_desc.loc.tsv
The banquet proceeds...,宴会继续进行……,宴會繼續進行……,ifo_text_TWEAK.loc.tsv
The battlefield is your stage.,战场即是您的舞台。,戰場即是您的舞臺。,hv_TEXT_etc.loc.tsv
"The captain of the centre, inspector of the professional Northern Army, has pledged his allegiance to Dong Zhuo. He now has a formidable force at his disposal.",领军的校尉掌管北军世兵，现已效忠于董卓。这是支不可小觑的部队。,領軍的校尉掌管北軍世兵，現已效忠于董卓。這是支不可小觑的部隊。,hv_TEXT_events.loc.tsv
"The captain of the centre, inspector of the professional Northern Army, has pledged his allegiance to Gongsun Zan. He now has a formidable force at his disposal.",领军的校尉掌管北军世兵，现已效忠于公孙瓒。这是支不可小觑的部队。,領軍的校尉掌管北軍世兵，現已效忠于公孫瓚。這是支不可小觑的部隊。,hv_TEXT_events.loc.tsv
"The captain of the centre, inspector of the professional Northern Army, has pledged his allegiance to Yuan Shu. He now has a formidable force at his disposal.",领军的校尉掌管北军世兵，现已效忠于袁术。这是支不可小觑的部队。,領軍的校尉掌管北軍世兵，現已效忠于袁術。這是支不可小觑的部隊。,hv_TEXT_events.loc.tsv
The chaos caused by Li Jue and Guo Si is devastating the whole country.,,,[dummy]__MTU_dummy.loc.tsv
The emperor thinks highly of you. His majesty has decided to gift you a small fortune in honour of your contributions to the state.,天子对你甚有好感，决定给你一些赏赐，来表彰你对朝廷的贡献。,天子對你甚有好感，决定給你一些賞賜，來表彰你對朝廷的貢獻。 ,ifo_text_TWEAK.loc.tsv
The estates of powerful and wealthy families.,地方豪强的地产。,地方豪强的地產。,hv_TEXT_building.loc.tsv
The fervour is now only left in the white ashes.,当日热情，只剩余烬。,當日熱情，只剩餘燼。,hv_TEXT_effects_pooled_resource.loc.tsv
"The finer your horses, the more powerful your cavalry will be. ",有良马才能有精骑。,有良馬才能有精騎。,hv_TEXT_frontend_features.loc.tsv
The first three warlords to be named king will proclaim themselves emperor.,最强的三家诸侯会自行称帝。,群雄中最強的三家會稱帝。,!hv_TEXT_system.loc.tsv
The flame of hope shines bright in the darkest hour.,希望之火在最黯时刻光芒闪耀。,希望之火在最黯時刻光芒閃耀。,hv_TEXT_unit_abilities.loc.tsv
The house of Dong is destroyed.,董卓全族已被诛灭,董卓全族已被誅滅,hv_TEXT_events.loc.tsv
"The imperial ancestral rite ended without incident. Unfortunately, the emperor returned to the place without acknowledging your contribution.",皇家祭祀仪式顺利完成，但天子一言不发便回宫了。,皇家祭祀儀式順利完成，但天子一言不發便回宮了。 ,ifo_text_TWEAK.loc.tsv
"The imperial ancestral rite was completed successfully, and the emperor shows favour to the attending nobles. ",皇家祭祀仪式圆满完成，天子对到场的贵族示恩。,皇家祭祀儀式圓滿完成，天子對到場的貴族示恩。 ,ifo_text_TWEAK.loc.tsv
The markets have been thrown into chaos as townsfolk and merchants scramble to adopt the new currency.,由于镇民和商人争相采用新货币，市场已陷入混乱。,由於鎮民和商人正向采用新貨幣，市場已陷入混亂。,hv_TEXT_effects_technology.loc.tsv
The next reform can be implemented without cooldown,下次改革可以马上执行，无需冷却,下次改革可以馬上執行，無需冷卻,hv_TEXT_effects_technology.loc.tsv
"The nomads of the steppes have a reputation for fine horsemanship. These particular horse archers have turned to banditry and pillaging to fill their coffers. They will allign themselves to bandit chiefs of note, who can afford their services by giving them a proportional share of the loot. In battle, they harass the enemy from afar, using their horses to quickly wheel about when the counter-attack comes.",,,hv_TEXT_unit_long_desc.loc.tsv
The officer in charge of Danyang units.,指挥丹阳部队的士官。,指揮丹陽部隊的士官。,hv_TEXT_effects_ceo.loc.tsv
The officer in charge of Sogdian mercenary units.,指挥粟特部队的士官。,指揮粟特部隊的士官。,hv_TEXT_effects_ceo.loc.tsv
The officer in charge of White Horse units.,指挥白马部队的士官。,指揮白馬部隊的士官。,hv_TEXT_effects_ceo.loc.tsv
The officer in charge of house Yuan units.,指挥袁氏部队的士官。,指揮袁氏部隊的士官。,hv_TEXT_effects_ceo.loc.tsv
The path to prominence in these turbulent times is by the sword! Win battles to demonstrate your capability.,在此动荡之秋，要想出人头地就只有靠刀剑！赢得战斗便能展示您的能力。,在此動蕩之秋，要想出人頭地就只有靠刀劍！贏得戰鬥便能展示您的能力。,hv_TEXT_events.loc.tsv
The people of Danyang have a reputation for bravery. Tao Qian has turned them into a well-trained army.,丹阳人以奋勇著称。陶谦整备军队，训练有素。,丹陽人以奮勇著稱。陶謙整備軍隊，訓練有素。,hv_TEXT_building.loc.tsv
"The pride of the Xiliang army, these armored horsemen will teach their enemy the meaning of “elite cavalry”.",作为西凉军的骄傲，这些重甲骑兵将教导他们的敌人“精锐骑兵”的含义。 ,作爲西涼軍的驕傲，這些重甲騎兵將教導他們的敵人“精銳騎兵”的含義。 ,hv_TEXT_unit_desc.loc.tsv
The quantity and quality of your warhorses is unmatched!,战马的数量与质量皆无与伦比！,戰馬的數量與質量皆無與倫比！,hv_TEXT_effects_pooled_resource.loc.tsv
The roar of gunpowder is more terrifying than any man or beast.,火药的轰鸣声比任何人兽都更可畏。,火藥的轟鳴聲比任何人獸都更可畏。,hv_TEXT_unit_abilities_hit_effects.loc.tsv
"The role of these troops can be deduced from their appearance; their armour pieces are mismatched, put together by collecting those left in the aftermath of battle, or sourced from nearby villages. \\n\\n Their most important function is to search and collect loot, weapons and armour after the battle to put towards the Great Peace. They are not good at close combat, so they use a bunch of captured repeating crossbows to support frontline.",从这些部队的外观就不难推测他们是干什么的，他们的盔甲要么是从战场上拾捡拼凑而来，要么是从周围村落里搞来的。\\n\\n他们最重要的作用是在战后搜集战利品、武器以及盔甲，从而推进太平大业。他们不善于近战，所以只用一些捡来的连弩支援前线部队。,這群士兵的作用能從外表窺知一二：他們的護甲並非成套，而是收集戰後遺留的部件或附近村莊之物拼湊而成。 \\n\\n 他們最大的用處便是在戰鬥結束後收集戰利品、武器和護甲，以便在成就太平之路上添磚加瓦。他們不善於近戰，所以只用一些撿來的連弩支援前綫部隊。,hv_TEXT_unit_desc.loc.tsv
The trees are their friends.,,,hv_TEXT_unit_abilities.loc.tsv
"The typical bandit force consists of lightly armored troops. These men are not a typical bandit force. A string of victories or lucky looting has netted them the excellent armour wielded by the heavy troops of the Han empire. They now form a heavy spear unit, capable of holding their ground against even the dreaded barded horsemen. With these men, any aspiring bandit warlord may find himself a bandit king or queen, one day.",,,hv_TEXT_unit_long_desc.loc.tsv
The unit inspires nearby soldiers to fight more aggressively.,此部队激励附近士卒更粗莽地战斗。 ,此單位激勵附近士卒更粗莽地戰鬥。,hv_TEXT_unit_abilities.loc.tsv
The unit inspires nearby soldiers to fight more cautiously.,此部队激励附近士卒更谨慎地战斗。,此單位激勵附近士卒更謹慎地戰鬥。,hv_TEXT_unit_abilities.loc.tsv
The wave of the blade push the enemy away.,一道道刀浪将敌人推走。,一道道刀浪將敵人推走。,hv_TEXT_skills_skill_ability_name_desc.loc.tsv
"The yellow turban warband is crushed. Hailing from Qingzhou, the survivors offer their servitude. Cao Cao gathers them under his banner and dubs them Qingzhou Troops.",黄巾匪徒已被击溃。青州生还者们愿意报德。曹操将之收于旗下，名为青州军。,黃巾匪徒已被擊潰。青州生還者們願意報德。曹操將之收於旗下，名爲青州軍。,hv_TEXT_events.loc.tsv
"Their bolts remind the foe that even at range, noone is truly safe from the might of the Xiliang army.",他们的弩矢提醒敌人，即使离得很远，在强大的西凉军前也不会安全。,他們的弩矢提醒敵人，即使離得很遠，在强大的西涼軍前也不會安全。,hv_TEXT_unit_desc.loc.tsv
"Their own lives are not important, and they will somehow stop the enemy.",不顾己命也要阻挡敌人。,不顧己命也要阻擋敵人。,hv_TEXT_unit_desc.loc.tsv
Their shots are almost always accurate even in the sand breeze.,即使在沙尘中，他们也总能准确命中。 ,即使在沙塵中，他們也總能準確命中。,hv_TEXT_unit_desc.loc.tsv
There is no sin against this innocent girl.,此女清白，并无罪过。,此女清白，并無罪過。,hv_TEXT_events.loc.tsv
There is nothing to fear because the heaven is watching.,上天保佑，无可畏惧。,上天保佑，無可畏懼。,hv_TEXT_skills_skill_ability_name_desc.loc.tsv
There's a sufficient number of horses.,有足够多的马匹。,有足夠多的馬匹。,hv_TEXT_effects_pooled_resource.loc.tsv
There's insufficient horses!,马匹数量不足！,馬匹數量不足！,hv_TEXT_effects_pooled_resource.loc.tsv
There's no shortage of good horses.,不缺好馬。,不缺好马。,hv_TEXT_effects_pooled_resource.loc.tsv
These Buddhists are welcome here.,欢迎这些僧侣。,歡迎這些僧侶。,hv_TEXT_events.loc.tsv
These versatile infantry will solve nigh any problem their Wu commanders might face.,这些多能的步兵几乎可以解决吴军将领可能面临的任何问题。,這些多能的步兵幾乎可以解决吳軍將領可能面臨的任何問題。,hv_TEXT_unit_desc.loc.tsv
They becomes frenzied when blood is spilled.,他们闻到血腥就会疯狂。,他們聞到血腥就會瘋狂。,hv_TEXT_unit_abilities.loc.tsv
They excel as warriors having trained in martial disciplines.,他们是受过武术训练的优秀战士。,他們是受過武術訓練的優秀戰士。,hv_TEXT_unit_abilities.loc.tsv
They get everything down to a note.,他们会记录一切事务。,他們會記錄一切事務。,z_dummy_hv_TEXT_non_deployable.loc.tsv
They rush like wolves.,,,hv_TEXT_unit_abilities.loc.tsv
This age of strife breeds men with a talent for warfare. A follower who has recently joined the faction can assume the role of managing an exclusive unit.,乱世出豪杰。新进的一名随从可管理一只特殊军队。,亂世出豪傑。新進的一名隨從可管理一隻特殊軍隊。,hv_TEXT_events.loc.tsv
This authorisation tally is tradeable in diplomacy!,此兵符可在外交中用来交易！,此兵符可在外交中用來交易！,hv_TEXT_effects_ceo.loc.tsv
This general directs and empowers his forces from a… safer distance.,此将会在…安全距离指挥激励部队。,這名將軍指揮若定，鼓舞盟友大顯身手…但他本人並不親赴前線。,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
This hero gets a bonus in duels. ,此英雄在单挑中有加成。,此英雄在單挑中有加成。,hv_TEXT_skills_additional.loc.tsv
This hero gets a great bonus in duels. ,此英雄在单挑中有强大加成。 ,此英雄在單挑中有强大加成。,hv_TEXT_skills_additional.loc.tsv
This is how animals fight.,,,hv_TEXT_unit_abilities.loc.tsv
This is path of militarism.,以军治国，军国一体。,以軍治國，軍國一體。,hv_TEXT_effects_pooled_resource.loc.tsv
"This unit can attack city gates, allowing you to instantly launch a siege battle without having to wait for towers or battering rams to be built.",,,hv_TEXT_unit_ui_bullet.loc.tsv
This unit has a ranged weapon to light a fire from a distance.,,,hv_TEXT_unit_ui_bullet.loc.tsv
This unit's weapon allows it to pierce even the strongest enemy armour.,此部队的武器可以穿透最强的护甲。,此單位的武器可以穿透最强的護甲。,hv_TEXT_unit_ui_bullet.loc.tsv
Those who intervene instead of the lord.,这些人代替主公处理事务。,這些人代替主公處理事務。,z_dummy_hv_TEXT_non_deployable.loc.tsv
"Though you started with little, you will end with much.",起家微薄亦可立业有成。,起家微薄亦可立業有成。,hv_TEXT_effects_pooled_resource.loc.tsv
Thousands of comrades across China will rise against oppression.,黄天之下千万教友将纷纷揭竿而起。,黃天之下千萬教友將紛紛揭竿而起。,hv_TEXT_events.loc.tsv
Tiger Hides,虎皮,虎皮,hv_TEXT_unit_abilities.loc.tsv
Tiger furs provide protection against missile attacks.,虎皮可抵御箭矢攻击。,虎皮可抵禦箭矢攻擊。,hv_TEXT_unit_abilities.loc.tsv
Tiger of Jiangdong,江东之虎,江東之虎,hv_TEXT_cb_loadout.loc.tsv
Tightly woven and does not fall off easily.,,,hv_TEXT_unit_abilities.loc.tsv
"To be the bolt of justice, to spearhead a charge deep into the enemy lines, delivering vengeance for an oppressed people, this is the task of these warriors. \\n\\n These cavalry are one of the few shock cavalry of the Yellow Turbans army.; once they have ploughed into an enemy formation with their spears, they have the armour and the skill to keep fighting, thrusting with enough force to pierce most armour with righteous intensity.",这些勇士的使命便是替天行道，为苍生而战，给与敌人致命一击。\\n\\n 这些骑兵是黄巾军中仅有的突击骑兵。他们不但能手持长枪，用冲锋撕裂敌人的阵型，还身披重甲，能够在近战中坚持奋战，用正义的怒火刺穿敌人的铠甲。,替天行道，衝鋒陷陣，為民除害，是彼使命。\\n\\n這些騎兵是黃巾軍中僅有的突擊騎兵。一旦執槍闖入敵陣，便能憑著良甲和武藝持續奮戰，哪怕是頑石般的盔甲也難以抵擋他們灌注義憤的一擊。,hv_TEXT_unit_desc.loc.tsv
Towards Supremacy,称霸之路,稱霸之路,hv_TEXT_events.loc.tsv
Training White Tigers,训练白虎,訓練白虎,hv_TEXT_effects_events.loc.tsv
"Treat your men as you would your own beloved sons. And they will follow you into the deepest valley. \\n\\n Serving the heirs of Sun Tzu, these men would willingly follow them into heirs and certain death. Armed with a light glaive and medium armor, these men can hold their own in a variety of situations, facing down cavalry or infantry with equal skill. Their versatility has caused them to be fondly called “problem solvers” by their commanders and are given great respect, which they repay with loyalty.",,,hv_TEXT_unit_long_desc.loc.tsv
Tribal hunters can provide us with additional food.,部落猎人可为我们提供额外的食物。,部落獵人可爲我們提供額外的食物。,hv_TEXT_building.loc.tsv
Turn back,回去,回去,hv_TEXT_events.loc.tsv
Two Blades,双刃兵,雙刃兵,hv_TEXT_unit_text_replacements.loc.tsv
Unit List,部队列表,單位清單,!hv_TEXT_system.loc.tsv
Unknown result,结果不明,結果不明 ,ifo_text_TWEAK.loc.tsv
"Unlocked in 195 CE. Once this is unlocked, you can use imperial favour to preform [[b]]imperial decrees[[/b]]",在公元195年解锁。解锁后，可以使用天子宠信来颁布[[b]]圣旨[[/b]]。,於公元195年解鎖。一旦解除此鎖定，您便可以運用皇帝寵信度發佈[[b]]皇帝詔書[[/b]],ifo_text_TWEAK.loc.tsv
Unlocked when Emperor Xian comes of age in 195 CE,公元195年献帝加元服后解锁,公元195年獻帝成年時解除鎖定,ifo_text_TWEAK.loc.tsv
Unlocks a special ability for cavalry units,解锁骑兵部队一个特殊能力,解鎖騎兵單位一個特殊能力,hv_TEXT_effects_pooled_resource.loc.tsv
Unlocks elite Northern Army Captain Retinues,解锁精锐北军校尉随从,解鎖精銳北軍校尉隨從,hv_TEXT_events.loc.tsv
Unlocks special abilities for black mountain bandit units,解锁黑山匪徒部队特殊能力,解鎖黑山匪徒單位特殊能力,hv_TEXT_effects_pooled_resource.loc.tsv
Unlocks unit for Yan Baihu: {{tr:hv_unit_white_tiger_warriors}},为严白虎解锁部队：{{tr:hv_unit_white_tiger_warriors}},為嚴白虎解鎖單位：{{tr:hv_unit_white_tiger_warriors}},hv_TEXT_effects_events.loc.tsv
Unstable Han dynasty,汉室式微,漢室式微,hv_TEXT_effect_faction.loc.tsv
Using Furious Beast,使用怒兽,使用怒獸,hv_TEXT_unit_ui_group_t1_VM.loc.tsv
"Using Various Weapons, Multi-Role",使用多种武器，多重角色,使用多種武器，多重角色,hv_TEXT_unit_ui_group_t1.loc.tsv
"Very High Hit Rate, Very Low Damage",命中率非常高，伤害非常低,命中率非常高，傷害非常低,hv_TEXT_unit_ui_group_t1.loc.tsv
"Very Long Range, High Armour-Piercing Damage, Very Slow Reload",超远距，穿甲伤害高，射击速率非常慢,超遠距，穿甲傷害高，射擊速率非常慢,hv_TEXT_unit_ui_group_t1_VM.loc.tsv
Vigilantes patrol the region and harass enemy armies.,巡守卫队在此地域巡逻，骚扰敌军。,巡守衛隊在此地域巡邏，騷擾敵軍。,hv_TEXT_building.loc.tsv
Virtous Noblemen,名门贤士,名門賢士,hv_TEXT_unit_text_replacements.loc.tsv
