eng,zh-cn,zh-tw,File
Wandering Artisans,游方艺匠,游方藝匠,hv_TEXT_unit_text_replacements.loc.tsv
"Wang Yun went to them obediently and left these words.\\n\\n ""It was my wish to make the country peaceful. I didn't, so I sacrifice myself. The litte emperor has shown kindness to me, and I can't stand to live a miserable life.""",,,[dummy]__MTU_dummy.loc.tsv
Warlord,诸侯,諸侯,[01]__MTU_generals__Water_strategist.loc.tsv
Warrior Monks,武僧,武僧,hv_TEXT_unit_text_replacements.loc.tsv
Warrior Without Equal,无双猛士,無雙猛士,hv_TEXT_cb_loadout.loc.tsv
Warriors of Danyang,丹阳战士,丹陽戰士,hv_TEXT_events.loc.tsv
Warriors of Jingchu,荆楚战士,荊楚戰士,hv_TEXT_events.loc.tsv
Warriors of Xiliang,西凉战士,西涼戰士,hv_TEXT_events.loc.tsv
Wars are a costly endeavour and one cannot hope to end this chaos without a sizable treasury. Show all under heaven that you possess China's wealth.,兴师十万，日费千金。国用不足则不能平乱。掌控举国之财，而后昭示天下。 ,興師十萬，日费千金。國用不足則不能平亂。掌控舉國之財，而後昭示天下。,hv_TEXT_events.loc.tsv
We are reaping the benefits of military rule.,军事统治已成效斐然。,軍事統治已成效斐然。,hv_TEXT_effects_pooled_resource.loc.tsv
We have gathered warriors from nearby nomadic peoples to form a powerful cavalry unit. These formidable cataphracts will crush your enemies.,我们从附近游牧民族召集战士，组成了一支强健骑兵。这些令人可畏的铁甲骑兵将冲垮你的敌人。,我們從附近游牧民族召集戰士，組成了一支强健騎兵。這些令人可畏的鐵甲騎兵將衝垮你的敵人。,hv_TEXT_events.loc.tsv
We're barely keeping our cavalry supplied. ,勉强能供应我们的骑兵。,勉强能供應我們的騎兵。,hv_TEXT_effects_pooled_resource.loc.tsv
We've run into problems paying the troops with the new coin. We have no choice but to wait for soldiers to adjust to the new standard.,由于新币发行，分发军饷时出现问题。我们别无选择，只能等到士兵们适应新的标准。,由於新幣發行，分發軍餉時出現問題。我們別無選擇，只能等到士兵們適應新的標準。,hv_TEXT_events.loc.tsv
We've run into problems purchasing grain with the new coin. We have no choice but to wait for farmers to adjust to the new standard.,由于新币发行，买粮时出现问题。我们别无选择，只能等到农民们适应新的标准。,由於新幣發行，買糧時出現問題。我們別無選擇，只能等到農民們適應新的標準。,hv_TEXT_events.loc.tsv
Wen Chou,文丑,文醜,hv_TEXT_cb_loadout.loc.tsv
"What kind of men are these, who are not soldiers, yet wear elite armour? Bloody men, who have earned their weaponry through victory and pillaging.",这些人并非军士，却穿着精良的铠甲。他们的装备来自于血腥的胜利和洗劫。,這些人并非軍士，卻穿著精良的鎧甲。他們的裝備來自於血腥的勝利和洗劫。,hv_TEXT_unit_desc.loc.tsv
"When they face Xianchenying, they lose confidence.",,,hv_TEXT_unit_abilities.loc.tsv
"When unequipped, the upkeep cost of the units unlocked by this follower will increase.",未装备时，该随从解锁的部队的维护费用会增加。,未裝備時，該隨從解鎖的單位的維護費用會增加。,hv_TEXT_effects_ceo.loc.tsv
"When your faction reached Enlightened, there will be Yellow Turban rebellion across China.",,,hv_TEXT_effects_pooled_resource.loc.tsv
"Where the militia of the Han are pressed into service out of obligation, the Yellow Turban zealots rise to fight because it is the only way to carve a better future for the people. \\n\\n Their fierce determination makes them more effective than standard militia. They charge into battle, lightly-armoured and equipped with explosive materials, ready to rend asunder any who doubt or question the Way.",汉代的民兵往往是被迫服役的，但黄巾战士们确实真心实意为天下苍生而战。\\n\\n 这种坚决的意志使他们比一般的民兵更为勇猛。他们身着轻甲，手持炸裂物，毫不留情地斩杀一切与黄天为敌之人。,漢軍民兵是被迫服役效勞朝廷，黃巾信眾則是為了扶助天下萬民而挺身奮戰。\\n\\n他們堅守職志，比起一般民兵更加善戰。這些信眾執爆裂物著輕甲趕赴沙場，欲將質疑太平道的敵人全數斬除。,hv_TEXT_unit_desc.loc.tsv
"Whereas some cavalry bring a primal, instantly shattering force to the battlefield, other mounted warriors are suited to the slower burn, embroiling themselves in the melee and staying to continue inflicting casualties. \\n\\n Whilst they get less power on the charge, their destructive capability increases dramatically once they begin hacking away at foes.",有的骑兵擅于冲锋，以蛮横的力量来击垮敌人；有的骑兵则相较之下更擅于慢火细炖，故意让自身卷入近战，以持续对敌人造成杀伤。\\n\\n这些近战骑兵虽然冲击力较差，但与敌人接触进入混战后却能造成相当大的杀伤。,有些騎兵以迅猛破陣之力見長，有些則善於近身纏鬥，持續殺傷敵人。\\n\\n這些掠奪者殺入戰場，儘管衝鋒的威力較一般騎兵略遜一籌，但在接敵後便能大幅發揮摧枯拉朽的能力，將敵兵一一劈裂。,hv_TEXT_unit_long_desc.loc.tsv
"Whether near or from afar, these soldiers shall bring justice to any who would threaten their prince.",无论远近，这些士卒都要为任何威胁他们主公的人讨回公道。,無論遠近，這些士卒都要為任何威脅他們主公的人討回公道。 ,hv_TEXT_unit_desc.loc.tsv
"Whilst all Yellow Turban warriors are happy to wade into the heart of battle, the Gallants of the People were made to hold the frontline against enemies - to be anywhere else would be to waste their talent and ardour. \\n\\n They are heavily-armoured, though not as heavily plated as some other warriors, yet with great axe they are able to push back the advancing foe whilst deflecting blows. Where their mail may falter, their fanaticism never will.",黄巾军志士个个不怕冲锋陷阵，但是护民勇士尤其适合固守阵线，要是挪作他用可就浪费了他们一身的本领和热忱。\\n\\n他们身披重甲，也许不若其他铁甲兵士防御周全，但可仰赖手中大斧抵挡敌军、化解攻势。正所谓甲胄可破，斗志不渝。,黃巾軍志士個個不怕衝鋒陷陣，但是護民勇士尤其適合固守陣線，要是挪作他用可就浪費了他們一身的本領和熱忱。\\n\\n他們身披重甲，也許不若其他鐵甲兵士防禦周全，但可仰賴手中大斧抵擋敵軍、化解攻勢。正所謂甲冑可破，鬥志不渝。,hv_TEXT_unit_desc.loc.tsv
White Feathers,白毦兵,白毦兵,hv_TEXT_unit_text_replacements.loc.tsv
White Horse Fellows Officer,白马义从士官,白馬義從士官,hv_TEXT_effects_ceo.loc.tsv
Win a battle where one of your generals personally kills 300 or more soldiers,赢得一场您的一名将领亲自杀敌三百人的战斗,贏得一場您的一名將領親自殺敵三百人的戰鬥,!hv_TEXT_system.loc.tsv
Win before [[b]][[{{CcoBattleDuel:FormatTime(TargetTimeRemaining)}}]][[/b]],在[[b]]{{CcoBattleDuel:FormatTime（TargetTimeRemaining）}}[[/b]]内获胜,在[[b]]{{CcoBattleDuel:FormatTime(TargetTimeRemaining)}}[[/b]]內獲勝,hv_TEXT_etc.loc.tsv
Wind of the North,北风,北風,hv_TEXT_unit_abilities.loc.tsv
"With Hand-ji and shield, these Xiliang warriors will bring death to the enemy.",佩戴盾与手戟，这些西凉勇士为敌人带来杀身之祸。,佩戴盾與手戟，這些西涼勇士為敵人帶來殺身之禍。,hv_TEXT_unit_desc.loc.tsv
"With sword and shield, these Xiliang horsemen will strike fear into the foe.",佩戴剑盾，这些西凉骑兵令敌军不寒而栗。,佩戴劍盾，這些西涼騎兵令敵軍不寒而慄。,hv_TEXT_unit_desc.loc.tsv
"With the many wars that ravage China, militias everywhere have sprung up to defend their home and livelihood from bandits, yellow turbans, and invading warlords. Tempered by hard-won experience, these men have become adepts at war by survival.  Equally skilled in melee as with the bow, they over time bought horses to level the playing field with the more professional troops they often face. Many of these veterans now flock to the banners of the warlords, providing a rapid response force fit for a variety of situations.",,,hv_TEXT_unit_long_desc.loc.tsv
With these numbers you can accomplish great things.,兵多将广，可成大事。,兵多將廣，可成大事。,hv_TEXT_effects_pooled_resource.loc.tsv
Wu Anguo,武安国,武安囯,hv_TEXT_cb_loadout.loc.tsv
Wu Anguo's Armour,,,[02]__MTU_items__Armour.loc.tsv
Wuhuan Riding Skill,乌桓骑术,烏桓騎術,hv_TEXT_unit_abilities.loc.tsv
Wuhuan horsemanship is unparalleled.,乌桓马术天下无双。,烏桓馬術天下無雙。,hv_TEXT_unit_abilities.loc.tsv
"Xun Yu openly criticized you for seeking power, saying you should be focusing on the restoration of Han dynasty. He even had the gall to say that because of your pursuit of power, you will never see a good end. \\n\\n You were furious, but you could not openly express it, since he was an old friend and a loyal servant.",,,[dummy]__MTU_dummy.loc.tsv
"Xun Yu recognized the meaning of your ""gift"" and made the last choice. You regretted your choice when you heard that he was dead, but it was too late.",,,[dummy]__MTU_dummy.loc.tsv
Xun Yu's Opposition,,,[dummy]__MTU_dummy.loc.tsv
"Xun Yu, a renowned strategist, has come to you to offer you his service. Many lords have offered him to join their side, but he rejected all the offers and decided to be a part of your ambition. You were thrilled to accept that someone so talented had come to you.",,,[dummy]__MTU_dummy.loc.tsv
Yan Baihu can recruit generic [[b]]Han units[[/b]] with Bandit Network.,严白虎可通过匪盗网招募普通[[b]]汉兵种部队[[/b]]。,嚴白虎可通過盜賊人脈招募普通 [[b]]漢軍單位[[/b]]。,hv_TEXT_frontend_features.loc.tsv
Yan Baihu may now recruit {{tr:hv_unit_white_tiger_warriors}}.,严白虎现可招募{{tr:hv_unit_white_tiger_warriors}}。,嚴白虎現可招募{{tr:hv_unit_white_tiger_warriors}}。,hv_TEXT_events.loc.tsv
Yan Liang,颜良,顏良,hv_TEXT_cb_loadout.loc.tsv
Yan Xiang,,,[01]__MTU_generals__Water_strategist.loc.tsv
Ye Overwatch Vanguards,邺城守望先锋,鄴城守望先鋒,hv_TEXT_unit_text_replacements.loc.tsv
Ye Shock Vanguards,邺城突击先锋,鄴城突擊先鋒,hv_TEXT_unit_text_replacements.loc.tsv
Years of fighting have solidified the faith these soldiers have in each other.,军团的成员皆长年共处的伙伴，对彼此充满了信念。,軍團的成員皆長年共處的夥伴，對彼此充滿了信念。,hv_TEXT_unit_abilities.loc.tsv
Years of fighting the steppe tribes have shaped these Xiliang spear-riders into a deadly force.,草原部落多年的战斗已将这些西凉骑兵塑造成了一支致命的力量。 ,草原部落多年的戰鬥已將這些西涼騎兵塑造成了一支致命的力量。,hv_TEXT_unit_desc.loc.tsv
Yellow Turban Cult,黄巾教派,黃巾教派,hv_TEXT_building.loc.tsv
Yellow Turban Hall,黄巾朝堂,黃巾朝堂,hv_TEXT_building.loc.tsv
Yellow Turban Lodge,黄巾旅站,黃巾旅站,hv_TEXT_building.loc.tsv
Yellow Turban Synod,黄巾教殿,黃巾教殿,hv_TEXT_building.loc.tsv
Yellow Turban Warband,黄巾军,黃巾軍,hv_TEXT_events.loc.tsv
Yijian Liting,,,[01]__MTU_generals__Metal_sentienl.loc.tsv
You Shi,游师骑兵,游師騎兵,hv_TEXT_unit_text_replacements.loc.tsv
You agree with your men and prepare to descend.,你同意下人的意见，准备下山。,你同意下人的意見，準備下山。,hv_TEXT_events.loc.tsv
You allow them to join your cause. ,收纳他们加入旗下。,收納他們加入旗下。,hv_TEXT_events.loc.tsv
"You are furious because you found out your old friend and trusted servant, Xun Yu, has turned his back against you. He does not oppose you publicly for the time being, but you are certain he will betray you the first chance he gets. \\n\\n It's time to choose. You can send him a ""gift."" when he receives your ""gift,"" he who shares a deep friendship with you will know the meaning of it...",,,[dummy]__MTU_dummy.loc.tsv
You are rather taken with a fine steed.,您被一匹好马吸引住了。,您被一匹好馬吸引住了。,hv_TEXT_events.loc.tsv
You are rather taken with a peculiar sword.,您被一柄怪剑吸引住了。,您被一柄怪劍吸引住了。,hv_TEXT_events.loc.tsv
You can't go back empty-handed.,不能空手而归。,不能空手而歸。,hv_TEXT_events.loc.tsv
You can't target yourself. ,不能指向自己。,不能指向自己。 ,ifo_text_TWEAK.loc.tsv
You decide not to avail yourself of their wares.,你决定不买他们的货品。,你決定不買他們的貨品。,hv_TEXT_events.loc.tsv
You do not have the prerequisite: %S.,您没有所需的：%S。,您沒有所需的：%S。,!hv_TEXT_system.loc.tsv
"You give up the hunt and return. However, for reasons unknown, the monster attacks stopped.",您放弃了狩猎，回去了。然而不知为何，怪兽从此不再攻击。,您放棄了狩獵，回去了。然而不知爲何，怪獸從此不再攻擊。,hv_TEXT_events.loc.tsv
You have acquired a tally that grants its bearer the authority to command Danyang troops.,您获得一张可指挥丹阳部队的兵符。,您獲得一張可指揮丹陽部隊的兵符。,hv_TEXT_events.loc.tsv
You have acquired a tally that grants its bearer the authority to command Jingchu troops.,您获得一张可指挥荆楚部队的兵符。,您獲得一張可指揮荊楚部隊的兵符。,hv_TEXT_events.loc.tsv
You have barely any influence.,没有多少影响力。,沒有多少影響力。,hv_TEXT_effects_pooled_resource.loc.tsv
You hire a Sogdian mercenary group.,您雇佣了一队粟特佣兵。,您雇傭了一隊粟特傭兵。,hv_TEXT_events.loc.tsv
"You may now recruit {{tr:hv_unit_qingzhou_hand_ji_infantry}}, {{tr:hv_unit_qingzhou_2h_axe_infantry}}, {{tr:hv_unit_qingzhou_raider_cavalry}}.",您现在可以招募：{{tr:hv_unit_qingzhou_hand_ji_infantry}}，{{tr:hv_unit_qingzhou_2h_axe_infantry}}，{{tr:hv_unit_qingzhou_raider_cavalry}}。,您現在可以招募：{{tr:hv_unit_qingzhou_hand_ji_infantry}}，{{tr:hv_unit_qingzhou_2h_axe_infantry}}，{{tr:hv_unit_qingzhou_raider_cavalry}}。,hv_TEXT_events.loc.tsv
"You refused to hand over Wang Yun and his family to them. Then the rebels are furious, and they're going through the whole country!",,,[dummy]__MTU_dummy.loc.tsv
You rule your domain with military efficiency.,以军队的效率治理领地。,以軍隊的效率治理領地。,hv_TEXT_effects_pooled_resource.loc.tsv
Young Blood,血气方刚,血氣方剛,hv_TEXT_unit_abilities.loc.tsv
Your attendant will assemble volunteers for military service.,您的随从将去募集兵员。,您的隨從將去募集兵員。,hv_TEXT_skills_additional.loc.tsv
Your attendant will help to expand the settlement. ,您的随从将协助扩张此城镇。,您的隨從將協助擴張此城鎮。,hv_TEXT_skills_additional.loc.tsv
"Your attendant will manage court affairs, streamlining bureaucracy.",您的随从将管理宫廷事务，精简政务。,您的隨從將管理宮廷事務，精簡政務。,hv_TEXT_skills_additional.loc.tsv
Your attendant will seek recruits for the local garrison.,您的随从将为此地驻军寻找新兵。,您的隨從將爲此地駐軍尋找新兵。,hv_TEXT_skills_additional.loc.tsv
"Your attendant will sell the horses you've bred, for a fine sum.",您的随从会将您所养的马匹以高价卖出。,您的隨從會將您所養的馬匹以高價賣出。,hv_TEXT_pooled_resource.loc.tsv
Your attendant will support your army in enemy territory.,您的随从将在敌方领土支持您的军队。,您的隨從將在敵方領土支援您的軍隊。,hv_TEXT_skills_additional.loc.tsv
Your followers are few.,跟随您的人寥寥无几。,跟隨您的人寥寥無幾。,hv_TEXT_effects_pooled_resource.loc.tsv
"Your messengers report a remarkable story. A trader spotted a Han woman living amongst the Xiongnu and identified her as Cai Yan, the daughter of the grand scholar Cai Yong. It seems she was forced to marry a chieftain of the Xiongnu. Perhaps someone could convince this chieftain to free Cai Yan. One of your scouts has already left to investigate...",,,hv_TEXT_events.loc.tsv
Yuan Anyang,,,[01]__MTU_generals__Water_strategist.loc.tsv
Yuan Rong Crossbow,元戎弩,元戎弩,hv_TEXT_events.loc.tsv
Yuan Shang,袁尚,袁尚,hv_TEXT_cb_loadout.loc.tsv
Yuan Shao,袁绍,袁紹,hv_TEXT_cb_loadout.loc.tsv
Yuan Shu's army follows your faction.,袁术之兵将追随于您。,袁術之兵將追隨於您。,hv_TEXT_events.loc.tsv
Yuan Tan,袁谭,袁譚,hv_TEXT_cb_loadout.loc.tsv
Yuan Yao's Armour,袁耀的护甲,袁耀的護甲,hv_TEXT_ceo_career.loc.tsv
Zhang Bang's Armour,张方的护甲,張方的護甲,hv_TEXT_ceo_career.loc.tsv
Zhang Fang,张方,張方,hv_TEXT_cb_loadout.loc.tsv
Zhang Xueer,,,[01]__MTU_generals__Fire_vanguard.loc.tsv
Zhang Xun,张勋,張勳,hv_TEXT_cb_loadout.loc.tsv
"Zheng Jiang has selected her most ferocious bandits to act as her ‘Fists of the Bandit Queen’; their role is to act as shock-troops, sneaking behind enemy lines to terrify foes with surprise attacks early in the battle. \\n\\n Each carries a heavy fu axe in each hand, and the wounds dealt by them can be catastrophic. Striking terror requires these troops to be without fear themselves, but also means they can tend to be undisciplined and difficult to control once their blood is hot with battle",,,hv_TEXT_unit_long_desc.loc.tsv
Zheng Lan,,,[01]__MTU_generals__Metal_sentienl.loc.tsv
Zhong Royal Guard Cavalry,仲氏羽林骑,仲氏羽林騎,hv_TEXT_unit_text_replacements.loc.tsv
Zhuge Liang has brilliantly engineered a new weapon. It is a crossbow that fires several bolts simultaneously to overwhelm the enemy.,诸葛亮精心设计出一种新武器。这是一种能够同时射出多枚箭矢的弩弓，可以压制敌人。 ,諸葛亮精心設計出一種新武器。這是一種能夠同時射出多枚箭矢的弩弓，可以壓制敵人。,hv_TEXT_events.loc.tsv
Zou Yuan,,,[01]__MTU_generals__Water_strategist.loc.tsv
"[[b]]ARMOUR[[/b]]\\n\\n Decreases standard melee, ranged and explosion damages. Doesn't help against armour-piercing damage.",[[b]]护甲[[/b]]\\n\\n减少部队受到的标准近战伤害、远程伤害以及爆炸伤害。无法防御穿甲伤害。,[[b]]護甲[[/b]]\\n\\n 減少單位受到的標準近戰傷害、遠程傷害以及爆炸傷害。無法防禦穿甲傷害。,hv_TEXT_etc.loc.tsv
[[b]]BONUS VS. CAVALRY[[/b]]\\n\\n Increases melee damage against cavalry.,[[b]]对抗骑兵加成[[/b]]\\n\\n提高对骑兵的近战伤害。,[[b]]對抗騎兵加成[[/b]]\\n\\n 提高對騎兵的近戰傷害。,hv_TEXT_etc.loc.tsv
[[b]]BONUS VS. INFANTRY[[/b]]\\n\\n Increases melee damage against infantry.,[[b]]对抗步兵加成[[/b]]\\n\\n提高对步兵的近战伤害。,[[b]]對抗步兵加成[[/b]]\\n\\n 提高對步兵的近戰傷害。,hv_TEXT_etc.loc.tsv
[[b]]CHARGE RESISTANCE[[/b]]\\n\\n Determines how solidly this unit can withstand enemy charges. Only functions when the unit is braced.,[[b]]冲锋抵抗力[[/b]]\\n\\n决定该部队能承受多大程度的敌军冲锋。此作用于该部队被冲锋时。,[[b]]衝鋒抵抗力[[/b]]\\n\\n決定該部隊能承受多大程度的敵軍衝鋒。此作用於該單位被衝鋒時。,hv_TEXT_etc.loc.tsv
"[[b]]Chen Deng[[/b]]\\nMan For All Seasons\\n\\nGeneral type: {{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]Sometimes, just sometimes, power fails to corrupt, and instead leads to altruism and charity.[[/col]][[/i]]",,,hv_TEXT_frontend_features.loc.tsv
"[[b]]Guerilla Warfare[[/b]]\\n[[col:scope_description]]Military building chain[[/col]]\\n\\n[[col:green]]+[[/col]] Post-battle loot income\\n[[col:green]]+[[/col]] Military supplies\\n[[col:green]]+[[/col]] Replenishment in foreign land\\n\\n[[col:flavour]][[i]]When fighting a greater opponent, remain flexible and use cunning and surprise.[[/col]][[/i]]",[[b]]游击序列[[/b]]\\n[[col:scope_description]]军事建筑序列[[/col]]\\n\\n[[col:green]]增加[[/col]]战后掳掠收入 \\n[[col:green]]增加[[/col]]军事补给\\n\\n[[col:flavour]]在外邦领土时部队补员\\n\\n[[col:flavour]][[i]]弱敌尚需谋略，强敌更得出奇制胜[[/col]][[/i]],[[b]]游擊戰[[/b]]\\n[[col:scope_description]]軍事建築系列[[/col]]\\n\\n[[col:green]]+[[/col]] 戰鬥後擄掠收入\\n[[col:green]]+[[/col]] 軍事物資補給\\n\\n[[col:flavour]]於外邦領土時的補員速率\\n\\n[[col:flavour]][[i]]敵強我弱時，務必保持靈活，利用計謀與奇襲致勝。[[/col]][[/i]],hv_TEXT_frontend_features.loc.tsv
[[b]]Lady Cai[[/b]]\\nThe Lady of Jingzhou\\n\\nGeneral type: {{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]The house of Cai is the most famous noble family in Jingzhou. Lady Cai is willing to use the power.[[/col]][[/i]],,,hv_TEXT_frontend_features.loc.tsv
[[b]]Loyalty to the Han[[/b]]\\n[[col:scope_description]]Path to victory[[/col]]\\n\\n[[col:red]]Requires high prestige for creating an emperor seat[[/col]]\\nCan gain prestige with imperial favours\\n\\n[[col:flavour]][[i]]Ambition is tamed by respect and loyalty towards the Han and its emperors.[[/col]][[/i]],[[b]]忠于汉室[[/b]]\\n[[col:scope_description]]制胜之道[[/col]]\\n\\n[[col:red]]需要高威望来称帝[[/col]]\\n如获天子宠信则可获得威望\\n\\n[[col:flavour]][[i]]尽忠职守，效忠汉帝，不敢心怀异志[[/col]][[/i]],[[b]]忠於漢室[[/b]]\\n[[col:scope_description]]求勝之道[[/col]]\\n\\n[[col:red]]需要高威望來稱帝[[/col]]\\n如獲皇帝寵信則可獲得威望\\n\\n[[col:flavour]][[i]]對漢室和皇帝的尊重和忠誠，馴服了野心。[[/col]][[/i]],hv_TEXT_frontend_features.loc.tsv
[[b]]MELEE EVASION[[/b]]\\n\\n Increases the chance of evading melee damage from front and side. The enemy's charge bonus decreases it.,[[b]]近战回避[[/b]]\\n\\n此能力值会提高闪避正面与侧面近战伤害的机率。敌人的冲锋加成会降低此能力值。,[[b]]近戰迴避[[/b]]\\n\\n 此能力值會提高閃避正面與側面近戰傷害的機率。敵人的衝鋒加成會降低此能力值。,hv_TEXT_etc.loc.tsv
[[b]]MELEE HIT BONUS[[/b]]\\n\\n Increases a unit's hit chance at all times by decreasing the enemy's melee evasion.,[[b]]近战命中加成[[/b]]\\n\\n通过降低敌人的近战回避，增加部队在任何时候的命中率。,[[b]]近戰命中加成[[/b]]\\n\\n 通過降低敵人的近戰回避，增加單位在任何時候的命中率。,hv_TEXT_etc.loc.tsv
"[[b]]Wu Anguo[[/b]]\\nOne Armed Bear\\n\\nGeneral type: {{tr:3k_general_type_wood}}\\n\\n[[col:flavour]][[i]]Although he lost one hand, he was one of the few who survived from duel with Lubu.[[/col]][[/i]]",,,[05]__MTU_sys__Frontend_ui_description.loc.tsv
[[col:flavour]]Local Noble's Estate[[/col]],[[col:flavour]]地方豪强庄园[[/col]],[[col:flavour]]地方豪强莊園[[/col]],hv_TEXT_building.loc.tsv
[[col:green]]Immune to Fear and Terror[[/col]],[[col:green]]免疫惊吓和惊骇[[/col]],[[col:green]]驚嚇和驚駭免疫[[/col]],!hv_TEXT_system.loc.tsv
[[col:scope_description]](adjacent all {{tr:map_regions}})[[/col]],[[col:scope_description]]（相邻各{{tr:map_regions}}）[[/col]],[[col:scope_description]]（相鄰各{{tr:map_regions}}）[[/col]],hv_TEXT_effects_building.loc.tsv
[[col:scope_description]](enemies in local {{tr:map_region}})[[/col]],[[col:scope_description]]（本{{tr:map_region}}内的敌军）[[/col]],[[col:scope_description]]（本{{tr:map_region}}內的敵軍）[[/col]],hv_TEXT_effect_scope.loc.tsv
[[col:scope_description]](faction leader)[[/col]],[[col:scope_description]]（势力领袖）[[/col]],[[col:scope_description]]（勢力領袖）[[/col]],hv_TEXT_effect_scope.loc.tsv
[[col:scope_description]](own army when commanding)[[/col]],[[col:scope_description]]（指挥时自军队）[[/col]],[[col:scope_description]]（指揮時自軍隊）[[/col]],hv_TEXT_effect_scope.loc.tsv
[[col:scope_description]](when this character's rank is 1 or higher)[[/col]],[[col:scope_description]]（此人等级1以上时）[[/col]],[[col:scope_description]]（此人等級1以上時）[[/col]],hv_TEXT_effect_scope.loc.tsv
[[col:scope_description]](when this character's rank is 11 or higher)[[/col]],[[col:scope_description]]（此人等级11以上时）[[/col]],[[col:scope_description]]（此人等級11以上時）[[/col]],hv_TEXT_effect_scope.loc.tsv
[[col:scope_description]](when this character's rank is 7 or higher)[[/col]],[[col:scope_description]]（此人等级7以上时）[[/col]],[[col:scope_description]]（此人等級7以上時）[[/col]],hv_TEXT_effect_scope.loc.tsv
long_description,长描述,長描述,hv_TEXT_building.loc.tsv
short_description,短描述,短描述,hv_TEXT_building.loc.tsv
work in process,未完成,未完成,hv_TEXT_unit_desc.loc.tsv
work in process \\n\\n (Please submit your ideas through the trom channel of MTU discord.),未完成\\n\\n（请于MTU的Discord里TROM频道提出建议）,未完成\\n\\n（請於MTU的Discord裏TROM頻道提出建議）,hv_TEXT_unit_long_desc.loc.tsv
• Can improve unique units,• 可以改善独特部队,• 可以改善獨特單位,hv_TEXT_frontend_features.loc.tsv
• Can recruit generic Han units,• 可以招募大汉部队,• 可以招募大漢單位,hv_TEXT_frontend_features.loc.tsv
• Garrisoned armies provide construction bonus and income bonus,• 驻军提供建筑和收入加成,• 駐軍提供建築和收入加成,hv_TEXT_frontend_features.loc.tsv
• Improve cavalry units,• 改善骑兵部队,• 改善騎兵單位,hv_TEXT_frontend_features.loc.tsv
• Increases unit morale and Decreases enemy unit morale,• 提升己方士气，降低敌方士气,• 增進己方士氣，降低敵方士氣,hv_TEXT_frontend_features.loc.tsv
• Military Improvements,• 改善军事,• 改善軍事,hv_TEXT_frontend_features.loc.tsv
安國,,,[05]__MTU_sys__Names.loc.tsv
